vessel_type,horizon_days,evaluation_points,naive_mae,naive_rmse,naive_r2,xgb_mae,xgb_rmse,xgb_r2,xgb_mape,improvement_percent
HSI,7,40,16.75,23.817010727629107,0.9412026849564582,14.114191436767578,18.242126250663887,0.9655067668264553,2.811066200845148,15.736170526760725
HSI,30,40,54.375,76.23073527128018,0.4171213777746572,53.6942642211914,71.96458991008106,0.4805358033916626,12.054961593341202,1.2519278690732811
HSI,60,40,80.075,109.09548569945505,-0.08855600036218658,55.905636596679685,81.06482973398585,0.3989616750033508,13.449541594269384,30.18340730979746
HSI,90,40,94.55,129.88764375413083,-0.4365745325273811,75.83759460449218,116.20273058893179,-0.14980754178203237,18.382470316087822,19.791015754106628
SI,7,40,36.225,52.650023741685054,0.9191771111613941,31.934132385253907,45.29403948122638,0.9401837290034175,4.030490380382616,11.845045175282525
SI,30,40,103.375,147.33253204910312,0.30297127784484845,105.1683837890625,152.40111928597094,0.25418745849257696,13.799557057231096,-1.7348331695888781
SI,60,40,136.4,184.36987281006623,0.03544306383616269,152.36737976074218,200.1787762811531,-0.13706166068798087,19.69944919436129,-11.706290147171682
SI,90,40,153.375,213.44911571613503,-0.2342512073540315,177.1484634399414,222.2959542344394,-0.3386836468797454,23.49733766935069,-15.500220661738481
PI,7,40,74.3,99.16501399183082,0.893240636367752,75.13882675170899,97.09042327162493,0.8976608488848247,6.527955176476293,-1.1289727479259664
PI,30,40,192.125,245.61356843627348,0.295192900753229,168.99554443359375,220.40642569258972,0.4324370157191809,16.76824584711999,12.038753710556279
PI,60,40,289.925,356.49554695676073,-0.5782559478901024,227.89318084716797,295.15244723068537,-0.08183740408614515,22.723487627178677,21.395815867149103
PI,90,40,333.175,419.78056767792384,-0.9425559231627572,268.5005905151367,346.55842107050574,-0.3239810888043104,27.64048784167889,19.411543328540045
CI,7,40,288.725,391.8993812192104,0.8174088481423374,330.6750152587891,402.73018403912613,0.807176956276884,29.096802272238705,-14.52940176943079
CI,30,40,722.175,853.9953600576528,0.1810987455327926,766.4025497436523,910.977640982203,0.06817158453653716,97.43419094428336,-6.124215009333249
CI,60,40,896.575,1047.7618169221475,-0.3132478806445951,946.16279296875,1139.8544444324398,-0.5542481791115645,133.73165417733745,-5.530802550678962
CI,90,40,1064.0,1245.8997351312023,-0.9121525322648687,825.5685424804688,1015.2514931787103,-0.26970730949106625,105.5082655061126,22.408971571384516
