Date,HSI,SI,PI,CI,DTI,CTI
2017-12-07,630,944,1564,4147,824,685.0
2017-12-08,631,943,1588,4193,823,679.0
2017-12-11,632,939,1624,4272,814,686.0
2017-12-12,633,942,1672,4293,814,684.0
2017-12-13,633,943,1718,4211,812,686.0
2017-12-14,635,944,1714,3936,812,694.0
2017-12-15,636,942,1677,3777,814,702.0
2017-12-18,637,943,1643,3656,815,707.0
2017-12-19,636,938,1593,3510,820,722.0
2017-12-20,632,933,1546,3216,824,723.0
2017-12-21,627,925,1445,3115,825,722.0
2017-12-22,625,914,1395,2830,831,719.0
2018-01-02,612,901,1340,2281,827,720.0
2018-01-03,607,894,1332,2426,700,655.0
2018-01-04,604,884,1365,2715,683,653.0
2018-01-05,600,884,1400,2791,676,653.0
2018-01-08,594,886,1424,2826,680,656.0
2018-01-09,592,889,1428,2820,682,646.0
2018-01-10,589,898,1404,2677,691,628.0
2018-01-11,587,902,1371,2384,685,616.0
2018-01-12,587,907,1348,2296,681,609.0
2018-01-15,585,908,1340,2231,684,602.0
2018-01-16,583,910,1329,2010,693,583.0
2018-01-17,581,910,1317,1743,717,569.0
2018-01-18,580,910,1311,1611,715,566.0
2018-01-19,584,911,1333,1493,707,570.0
2018-01-22,585,913,1362,1445,705,567.0
2018-01-23,586,911,1404,1525,702,564.0
2018-01-24,584,908,1456,1676,694,569.0
2018-01-25,581,904,1481,1752,691,571.0
2018-01-26,577,900,1492,1772,683,589.0
2018-01-29,573,895,1485,1784,682,623.0
2018-01-30,566,889,1450,1748,679,637.0
2018-01-31,558,884,1411,1613,670,628.0
2018-02-01,552,877,1378,1528,664,602.0
2018-02-02,547,872,1359,1470,661,598.0
2018-02-05,543,865,1339,1433,658,606.0
2018-02-06,538,857,1316,1519,654,606.0
2018-02-07,532,844,1293,1578,648,615.0
2018-02-08,529,833,1263,1662,648,614.0
2018-02-09,526,825,1250,1790,643,619.0
2018-02-12,520,819,1237,1824,642,632.0
2018-02-13,518,817,1228,1793,640,634.0
2018-02-14,516,823,1231,1721,637,642.0
2018-02-15,515,832,1251,1663,642,638.0
2018-02-16,515,837,1273,1608,649,630.0
2018-02-19,517,840,1294,1597,649,628.0
2018-02-20,519,847,1333,1678,645,623.0
2018-02-21,522,856,1388,1717,641,613.0
2018-02-22,529,871,1438,1725,640,617.0
2018-02-23,534,892,1481,1722,645,618.0
2018-02-26,538,919,1504,1680,646,622.0
2018-02-27,545,948,1513,1595,652,618.0
2018-02-28,557,973,1513,1560,658,621.0
2018-03-01,579,992,1505,1568,658,622.0
2018-03-02,586,1004,1500,1592,662,604.0
2018-03-05,590,1006,1502,1597,669,600.0
2018-03-06,595,1013,1528,1587,664,598.0
2018-03-07,599,1020,1553,1495,654,596.0
2018-03-08,607,1026,1590,1489,648,590.0
2018-03-09,611,1032,1615,1479,651,585.0
2018-03-12,615,1040,1624,1425,653,580.0
2018-03-13,617,1049,1623,1362,648,577.0
2018-03-14,622,1061,1623,1312,642,567.0
2018-03-15,626,1077,1619,1238,641,563.0
2018-03-16,627,1091,1618,1203,639,564.0
2018-03-19,629,1099,1621,1171,635,564.0
2018-03-20,630,1109,1615,1112,636,559.0
2018-03-21,634,1117,1606,1109,645,561.0
2018-03-22,639,1122,1593,1129,649,560.0
2018-03-23,641,1121,1587,1157,652,554.0
2018-03-26,645,1116,1575,1197,656,557.0
2018-03-27,648,1106,1552,1191,658,563.0
2018-03-28,650,1093,1520,1065,662,563.0
2018-03-29,652,1080,1495,1010,662,563.0
2018-04-03,650,1067,1455,924,661,560.0
2018-04-04,648,1056,1397,841,651,543.0
2018-04-05,644,1042,1343,809,648,520.0
2018-04-06,643,1032,1317,824,646,510.0
2018-04-09,638,1024,1315,854,643,501.0
2018-04-10,636,1016,1319,930,637,498.0
2018-04-11,634,1014,1325,940,631,510.0
2018-04-12,630,1014,1335,982,628,523.0
2018-04-13,628,1013,1351,1038,639,525.0
2018-04-16,626,1016,1359,1061,640,529.0
2018-04-17,626,1018,1353,1152,638,535.0
2018-04-18,626,1022,1329,1402,636,538.0
2018-04-19,623,1022,1306,1668,635,554.0
2018-04-20,621,1025,1289,1915,637,557.0
2018-04-23,621,1027,1281,2009,637,558.0
2018-04-24,617,1030,1269,2130,639,555.0
2018-04-25,614,1037,1264,2314,637,557.0
2018-04-26,610,1040,1272,2306,639,563.0
2018-04-27,605,1042,1275,2251,648,571.0
2018-04-30,603,1045,1276,2173,655,571.0
2018-05-01,601,1043,1271,2136,656,567.0
2018-05-02,597,1043,1271,2197,655,560.0
2018-05-03,591,1047,1266,2308,647,545.0
2018-05-04,589,1050,1265,2337,648,546.0
2018-05-08,585,1051,1257,2482,650,545.0
2018-05-09,585,1048,1253,2616,655,541.0
2018-05-10,584,1052,1246,2565,656,541.0
2018-05-11,584,1053,1245,2630,656,540.0
2018-05-14,585,1055,1240,2635,657,542.0
2018-05-15,586,1053,1237,2602,656,540.0
2018-05-16,587,1056,1237,2407,667,532.0
2018-05-17,589,1064,1239,2106,681,529.0
2018-05-18,590,1069,1241,2053,692,524.0
2018-05-21,591,1071,1243,1957,714,525.0
2018-05-22,590,1074,1239,1854,729,526.0
2018-05-23,591,1074,1222,1759,748,535.0
2018-05-24,590,1074,1202,1551,761,546.0
2018-05-25,587,1071,1187,1395,776,558.0
2018-05-29,586,1068,1163,1324,781,563.0
2018-05-30,584,1064,1149,1276,779,569.0
2018-05-31,583,1063,1160,1401,768,555.0
2018-06-01,583,1061,1192,1602,754,555.0
2018-06-04,583,1061,1217,1712,754,549.0
2018-06-05,584,1065,1250,1835,749,546.0
2018-06-06,583,1065,1290,2088,745,541.0
2018-06-07,583,1072,1344,2220,735,538.0
2018-06-08,584,1075,1418,2151,731,535.0
2018-06-11,586,1078,1451,2091,734,531.0
2018-06-12,588,1084,1474,2068,746,525.0
2018-06-13,591,1088,1488,2091,751,522.0
2018-06-14,592,1089,1498,2184,768,518.0
2018-06-15,593,1091,1495,2223,760,518.0
2018-06-18,595,1092,1482,2228,746,515.0
2018-06-19,594,1093,1458,2187,736,511.0
2018-06-20,593,1094,1419,2090,743,507.0
2018-06-21,592,1094,1382,2038,743,506.0
2018-06-22,593,1092,1355,2011,742,507.0
2018-06-25,592,1085,1339,2001,745,506.0
2018-06-26,589,1078,1321,1986,745,503.0
2018-06-27,585,1067,1324,1942,735,500.0
2018-06-28,583,1055,1331,2025,727,496.0
2018-06-29,581,1042,1336,2170,724,493.0
2018-07-02,575,1034,1338,2304,712,496.0
2018-07-03,571,1025,1336,2478,705,500.0
2018-07-04,569,1017,1334,2743,702,501.0
2018-07-05,565,1005,1339,3013,705,501.0
2018-07-06,563,999,1347,3086,710,502.0
2018-07-09,562,997,1367,3016,721,502.0
2018-07-10,560,994,1431,2792,729,501.0
2018-07-11,558,992,1498,2793,732,499.0
2018-07-12,558,994,1517,3041,741,499.0
2018-07-13,559,995,1527,3156,738,500.0
2018-07-16,559,998,1529,3238,744,499.0
2018-07-17,561,1003,1530,3335,738,499.0
2018-07-18,561,1008,1529,3230,723,494.0
2018-07-19,561,1016,1538,3130,714,494.0
2018-07-20,560,1023,1557,3205,713,496.0
2018-07-23,560,1028,1566,3304,723,500.0
2018-07-24,559,1030,1581,3461,727,507.0
2018-07-25,556,1033,1588,3462,748,511.0
2018-07-26,554,1034,1583,3303,753,512.0
2018-07-27,553,1035,1588,3197,755,508.0
2018-07-30,551,1035,1587,3280,759,503.0
2018-07-31,549,1035,1570,3471,768,500.0
2018-08-01,547,1036,1539,3515,768,498.0
2018-08-02,544,1032,1491,3534,760,492.0
2018-08-03,543,1030,1447,3632,756,490.0
2018-08-06,542,1030,1420,3654,758,487.0
2018-08-07,541,1032,1386,3550,749,483.0
2018-08-08,541,1035,1365,3483,733,480.0
2018-08-09,543,1036,1349,3472,725,478.0
2018-08-10,542,1039,1339,3480,717,479.0
2018-08-13,543,1040,1339,3536,713,489.0
2018-08-14,543,1042,1362,3587,715,492.0
2018-08-15,543,1045,1403,3560,723,492.0
2018-08-16,544,1050,1447,3476,731,491.0
2018-08-17,545,1056,1485,3454,736,490.0
2018-08-20,543,1062,1506,3424,753,489.0
2018-08-21,543,1069,1530,3426,774,486.0
2018-08-22,548,1078,1560,3371,792,484.0
2018-08-23,547,1087,1607,3232,791,481.0
2018-08-24,551,1095,1630,3164,794,480.0
2018-08-28,554,1110,1643,3088,804,479.0
2018-08-29,556,1121,1639,2994,795,478.0
2018-08-30,559,1128,1608,2826,789,476.0
2018-08-31,562,1132,1571,2732,787,484.0
2018-09-03,563,1133,1540,2672,786,501.0
2018-09-04,564,1135,1517,2535,780,499.0
2018-09-05,565,1135,1504,2410,772,516.0
2018-09-06,565,1135,1516,2424,778,526.0
2018-09-07,568,1134,1528,2411,778,534.0
2018-09-10,569,1136,1544,2363,785,532.0
2018-09-11,572,1135,1556,2191,784,532.0
2018-09-12,576,1134,1550,2074,774,520.0
2018-09-13,581,1132,1534,1980,769,518.0
2018-09-14,588,1134,1523,1900,770,511.0
2018-09-17,596,1138,1518,1853,765,513.0
2018-09-18,600,1151,1525,1826,763,508.0
2018-09-19,604,1159,1530,1850,766,502.0
2018-09-20,612,1169,1557,1838,773,499.0
2018-09-21,617,1175,1586,1840,780,503.0
2018-09-24,622,1185,1609,1864,791,511.0
2018-09-25,622,1190,1639,1868,794,516.0
2018-09-26,626,1194,1677,1910,801,521.0
2018-09-27,627,1195,1689,1949,804,531.0
2018-09-28,629,1194,1695,2000,805,541.0
2018-10-01,630,1193,1692,2061,791,550.0
2018-10-02,631,1189,1678,2148,793,549.0
2018-10-03,633,1190,1679,2199,801,551.0
2018-10-04,634,1192,1706,2148,808,558.0
2018-10-05,637,1197,1727,2081,837,587.0
2018-10-08,639,1201,1749,2042,853,596.0
2018-10-09,643,1203,1747,1961,858,590.0
2018-10-10,647,1205,1749,1949,875,592.0
2018-10-11,652,1207,1763,2005,890,597.0
2018-10-12,657,1204,1775,2169,913,594.0
2018-10-15,661,1200,1779,2189,921,598.0
2018-10-16,663,1196,1793,2164,922,600.0
2018-10-17,665,1192,1796,2106,947,600.0
2018-10-18,668,1181,1789,2176,963,598.0
2018-10-19,670,1170,1775,2230,988,589.0
2018-10-22,671,1163,1756,2296,1024,587.0
2018-10-23,673,1156,1715,2363,1051,582.0
2018-10-24,675,1144,1669,2388,1066,577.0
2018-10-25,676,1132,1622,2353,1099,569.0
2018-10-26,675,1117,1583,2526,1121,571.0
2018-10-29,675,1106,1556,2607,1141,573.0
2018-10-30,675,1087,1530,2630,1153,571.0
2018-10-31,671,1073,1524,2596,1150,567.0
2018-11-01,668,1061,1526,2530,1157,569.0
2018-11-02,666,1051,1530,2502,1152,574.0
2018-11-05,665,1041,1531,2397,1143,576.0
2018-11-06,663,1033,1528,2296,1134,583.0
2018-11-07,660,1021,1511,1968,1116,608.0
2018-11-08,658,1013,1496,1747,1104,614.0
2018-11-09,656,1003,1495,1461,1097,634.0
2018-11-12,654,994,1496,1398,1092,652.0
2018-11-13,653,986,1498,1153,1086,654.0
2018-11-14,652,982,1484,940,1082,652.0
2018-11-15,649,970,1466,1007,1091,651.0
2018-11-16,646,969,1453,1057,1099,649.0
2018-11-19,645,964,1437,1050,1106,646.0
2018-11-20,644,963,1416,1002,1103,645.0
2018-11-21,642,959,1393,1056,1107,643.0
2018-11-22,638,956,1378,1089,1104,650.0
2018-11-23,635,952,1376,1358,1126,654.0
2018-11-26,633,947,1389,1789,1130,660.0
2018-11-27,631,943,1416,2170,1127,669.0
2018-11-28,629,942,1444,2121,1131,695.0
2018-11-29,628,945,1455,1950,1133,750.0
2018-11-30,626,944,1463,1755,1135,780.0
2018-12-03,626,945,1469,1638,1132,792.0
2018-12-04,625,949,1474,1739,1129,840.0
2018-12-05,625,950,1472,1925,1146,861.0
2018-12-06,625,951,1473,2080,1160,876.0
2018-12-07,625,953,1469,2197,1168,886.0
2018-12-10,624,955,1464,2244,1167,894.0
2018-12-11,623,958,1454,2183,1180,897.0
2018-12-12,622,963,1445,2153,1212,909.0
2018-12-13,621,968,1459,2180,1218,919.0
2018-12-14,617,974,1478,2383,1223,917.0
2018-12-17,614,978,1490,2433,1223,909.0
2018-12-18,611,977,1494,2393,1230,895.0
2018-12-19,607,979,1492,2264,1240,860.0
2018-12-20,602,979,1473,2071,1266,844.0
2018-12-21,597,977,1437,1913,1258,833.0
2018-12-24,596,975,1421,1905,1256,823.0
2019-01-02,588,967,1391,1987,1009,666.0
2019-01-03,578,958,1365,1963,999,657.0
2019-01-04,571,946,1331,2003,982,656.0
2019-01-07,563,933,1300,2016,973,666.0
2019-01-08,556,918,1257,2117,967,684.0
2019-01-09,546,893,1218,2078,957,683.0
2019-01-10,536,870,1170,1987,930,674.0
2019-01-11,524,842,1137,1966,929,667.0
2019-01-14,511,814,1118,1952,925,659.0
2019-01-15,499,785,1104,1831,920,655.0
2019-01-16,483,755,1079,1748,899,665.0
2019-01-17,466,729,1045,1868,891,665.0
2019-01-18,451,701,1018,2037,873,661.0
2019-01-21,442,680,991,2024,875,659.0
2019-01-22,432,660,950,1892,868,664.0
2019-01-23,423,638,893,1775,866,668.0
2019-01-24,409,607,828,1726,875,668.0
2019-01-25,395,576,748,1730,877,672.0
2019-01-28,384,552,687,1631,874,669.0
2019-01-29,368,526,644,1508,872,667.0
2019-01-30,347,498,612,1295,859,659.0
2019-01-31,328,472,574,1116,848,653.0
2019-02-01,311,450,560,1014,843,649.0
2019-02-04,301,438,552,984,824,640.0
2019-02-05,294,423,553,972,806,636.0
2019-02-06,294,415,553,929,805,633.0
2019-02-07,290,414,561,846,797,629.0
2019-02-08,290,415,574,792,795,624.0
2019-02-11,292,429,586,736,791,618.0
2019-02-12,296,454,600,711,790,624.0
2019-02-13,302,478,611,707,798,618.0
2019-02-14,311,526,619,729,806,613.0
2019-02-15,315,560,624,727,818,609.0
2019-02-18,322,594,628,713,819,605.0
2019-02-19,335,625,639,650,828,607.0
2019-02-20,345,649,649,578,831,605.0
2019-02-21,353,686,657,570,828,594.0
2019-02-22,359,707,666,545,823,595.0
2019-02-25,366,721,685,520,801,588.0
2019-02-26,372,729,713,522,799,583.0
2019-02-27,382,738,752,500,796,580.0
2019-02-28,388,749,813,459,781,576.0
2019-03-01,393,759,863,383,774,575.0
2019-03-04,397,767,900,355,762,581.0
2019-03-05,407,776,924,299,754,585.0
2019-03-06,413,783,938,270,753,584.0
2019-03-07,418,790,926,236,747,577.0
2019-03-08,421,790,894,235,742,575.0
2019-03-11,424,790,866,250,737,575.0
2019-03-12,429,789,839,278,743,580.0
2019-03-13,430,789,823,327,740,588.0
2019-03-14,434,786,841,403,737,603.0
2019-03-15,437,786,883,520,735,606.0
2019-03-18,440,787,905,476,730,613.0
2019-03-19,443,789,922,421,715,627.0
2019-03-20,446,796,962,399,705,634.0
2019-03-21,449,813,1009,288,700,650.0
2019-03-22,455,826,1027,251,695,669.0
2019-03-25,458,830,1036,230,688,684.0
2019-03-26,463,833,1053,190,678,703.0
2019-03-27,466,831,1056,178,663,723.0
2019-03-28,467,823,1087,167,651,744.0
2019-03-29,464,813,1102,150,648,737.0
2019-04-01,461,807,1110,122,640,734.0
2019-04-02,455,795,1120,92,632,709.0
2019-04-03,448,775,1127,104,623,676.0
2019-04-04,437,757,1124,210,618,644.0
2019-04-05,432,742,1114,276,617,614.0
2019-04-08,425,733,1101,312,610,604.0
2019-04-09,419,726,1085,375,618,600.0
2019-04-10,411,718,1074,428,620,596.0
2019-04-11,406,715,1071,423,634,592.0
2019-04-12,403,711,1073,418,639,586.0
2019-04-15,399,714,1092,445,639,577.0
2019-04-16,397,718,1119,459,643,574.0
2019-04-17,394,726,1147,463,652,584.0
2019-04-18,390,732,1162,490,653,576.0
2019-04-23,391,751,1171,572,644,571.0
2019-04-24,392,773,1177,648,636,573.0
2019-04-25,391,781,1182,691,635,586.0
2019-04-26,389,780,1186,783,640,584.0
2019-04-29,386,777,1189,884,638,581.0
2019-04-30,384,768,1188,1276,634,567.0
2019-05-01,386,763,1187,1389,635,553.0
2019-05-02,384,755,1189,1420,638,546.0
2019-05-03,382,752,1190,1290,645,536.0
2019-05-07,382,761,1189,1119,662,514.0
2019-05-08,382,770,1188,1159,672,523.0
2019-05-09,382,776,1193,1270,680,521.0
2019-05-10,382,779,1198,1371,697,516.0
2019-05-13,382,782,1211,1405,703,510.0
2019-05-14,381,783,1229,1462,704,505.0
2019-05-15,381,784,1243,1417,697,504.0
2019-05-16,383,783,1252,1428,683,507.0
2019-05-17,385,780,1255,1463,678,512.0
2019-05-20,386,778,1256,1470,674,516.0
2019-05-21,388,777,1258,1501,673,521.0
2019-05-22,389,778,1268,1537,672,522.0
2019-05-23,391,779,1287,1558,666,524.0
2019-05-24,393,778,1304,1545,665,527.0
2019-05-28,394,771,1322,1585,658,539.0
2019-05-29,395,763,1337,1659,651,541.0
2019-05-30,397,756,1340,1623,643,538.0
2019-05-31,398,752,1335,1620,636,537.0
2019-06-03,401,748,1325,1650,634,523.0
2019-06-04,403,739,1304,1739,633,515.0
2019-06-05,405,731,1285,1806,632,518.0
2019-06-06,408,726,1246,1826,635,521.0
2019-06-07,412,719,1213,1862,643,521.0
2019-06-10,411,717,1187,1848,645,517.0
2019-06-11,414,714,1166,1798,654,507.0
2019-06-12,416,712,1149,1746,653,499.0
2019-06-13,419,710,1137,1718,657,494.0
2019-06-14,420,716,1131,1800,662,491.0
2019-06-17,422,720,1125,1826,668,492.0
2019-06-18,428,728,1117,1956,677,495.0
2019-06-19,432,736,1110,2051,676,498.0
2019-06-20,437,743,1101,2080,681,505.0
2019-06-21,440,751,1096,2278,679,510.0
2019-06-24,442,756,1111,2363,678,543.0
2019-06-25,442,765,1150,2389,679,550.0
2019-06-26,442,774,1191,2440,678,543.0
2019-06-27,443,783,1243,2465,677,536.0
2019-06-28,442,787,1286,2488,680,539.0
2019-07-01,441,792,1317,2557,679,543.0
2019-07-02,439,796,1370,2717,673,547.0
2019-07-03,440,803,1433,2939,660,551.0
2019-07-04,443,814,1569,3298,652,545.0
2019-07-05,448,820,1665,3346,650,542.0
2019-07-08,454,829,1695,3260,645,536.0
2019-07-09,458,835,1739,3343,640,529.0
2019-07-10,463,845,1791,3361,633,524.0
2019-07-11,468,860,1881,3416,631,525.0
2019-07-12,472,879,1945,3541,628,524.0
2019-07-15,472,888,1992,3724,627,523.0
2019-07-16,477,905,2052,3968,623,513.0
2019-07-17,481,928,2085,4095,627,501.0
2019-07-18,486,953,2134,4256,625,491.0
2019-07-19,492,982,2170,4379,622,480.0
2019-07-22,497,1002,2201,4438,624,478.0
2019-07-23,503,1017,2219,4315,626,473.0
2019-07-24,506,1019,2209,3808,628,471.0
2019-07-25,512,1012,2180,3609,634,469.0
2019-07-26,515,1005,2109,3647,634,466.0
2019-07-29,516,996,2050,3660,632,461.0
2019-07-30,516,988,1969,3664,624,455.0
2019-07-31,516,982,1891,3657,621,456.0
