vessel_type,baseline_mae,baseline_rmse,xgb_mae,xgb_rmse,xgb_r2,xgb_mape,improvement_percent
HSI,3.2906976744186047,4.715757849277596,3.8994363296863646,5.075408136607318,0.9975844351339018,0.8175501863829991,-18.498771856193407
SI,7.561046511627907,10.799305533227589,8.001380121985147,12.131548922245004,0.9955021474184236,1.0644577918520959,-5.82371249376741
PI,20.069767441860463,27.5491104824111,17.67568490671557,30.455288346853404,0.9909438507953947,1.2893564344903197,11.928800580675597
CI,80.67732558139535,110.99045370640435,81.91214299756427,108.61953072045966,0.9875599122677146,9.106690222884485,-1.5305631505138524
